AT1G01820	15531708,16636080,17220199,17478547
AT1G01820.1	16636080,17478547,18539750
AT1G01830	12946625
AT1G01840	15699063
AT1G01860	9596631,14576160,19929881,20736450
AT1G01870	8980477
AT1G01880	20736450,25037209
AT1G01890	8980477
AT1G01900	14697270,15342526,15694452,15763661,15593128,16193095,16330523,16648215,16895613,17581762,18055584,18643977,20736450
AT1G01900.1	15593128,18643977
AT1G01910	18315867,18775970,20736450,20687615
AT1G01930	18775970
AT1G01940	15051864,15047905,18055584,18650403,20736450
AT1G01950	12946625,14576160,17971038,17957256,20736450,21387573
AT1G01960	15634699,16944199,17488242,18203920,18433157,18831797,20736450,20687615,24714496
AT1G01960.1	18433157
AT1G01970	18650403
AT1G01980	11115874,18796151,18775970,20736450
AT1G01990	20736450
AT1G02000	15247385,15911562,18775970,20736450
AT1G02010	16944199
AT1G02020	14576160,20736450
AT1G02020.1	18431481
AT1G02020.2	18431481
AT1G02030	11118137,15236668,15894743,18193167,24119003
AT1G02030.1	11118137
AT1G02040	11118137,15236668,15375205,18193167,21104372
AT1G02040.1	11118137
AT1G02050	15860015,17496121,18433503,19043200,20442277,21193570,23632852,23252839
AT1G02050.1	16280546
AT1G02060	14576160,15565108
AT1G02065	12671094,14535885,15799777,16095614,17093870,18036205,21177480,23621152,24508602
AT1G02070	14576160
AT1G02074	17395691
AT1G02074.1	17395691
AT1G02080	16359384,16944199,18650403,18775970
AT1G02080.1	17432890
AT1G02090	10521526,10330469,9707402,11019806,11742986,11029466,12615944,17077498,17307927,18650403,18854373,21614643,23086934
AT1G02090.1	11019806
AT1G02090.2	
AT1G02090.3	
AT1G02100	20736450,21558554,24810976
AT1G02110	12912986,20736450
AT1G02110.1	12912986,17317660
AT1G02120	15269331,18201690,18650403,18775970,19271961
AT1G02120.1	17720753
AT1G02130	10188584,1748311,11090219,11874578,12644670,12684538,14500793,15060130,15539469,15972698,16146321,16502469,16531497,16615871,17346352,18055610,18650403,21269510
AT1G02130.1	15060130,15539469,16502469
AT1G02140	15514068,15496452,15634699,15965014,16297076,16953428,18775970,19435936,17339635,21676911
AT1G02140.1	15028209,15496452
AT1G02145	20023196,22733738
AT1G02150	12372144,14576160,15805492,18515828,18650403
AT1G02150.1	18431481
AT1G02160	18805951,18775970
AT1G02170	12732715,14576160,15326173,15691845,18775970,21097903,20565583,23633962
AT1G02180	16367961,18775970
AT1G02190	15634696,15849306,16805732,19291320,20736450,23505340
AT1G02205	9112770,8718622,8528281,1847001,12228482,12724542,12974811,15070782,17376164,17661078,18650403,19322663,19819982,19892830,20736450,21386033,22773744,23505340,23741473,24223831
AT1G02205.1	8718622
AT1G02210	16820983
AT1G02210.1	
AT1G02220	11118137,15029955,15282545,15235117,16829591,17217462,17329565,18650403,20736450,22037706,24377444
AT1G02220.1	11118137,16280546
AT1G02230	11118137,15029955,15375205,20736450,24377444
AT1G02230.1	11118137
AT1G02250	11118137,15029955,15282545,15923329,17565617,20736450,23252839
AT1G02250.1	11118137,15923329
AT1G02260	14576160,18544156,20226671
AT1G02270	12372144,14617066
AT1G02270.1	14617066
AT1G02280	10998188,9756470,11553737,12473690,11549763,12741849,12782294,12869544,12897258,12951325,15053763,15284497,15273297,15773849,15842619,11470820,16412428,17261588,17337454,18054337,18193034,18400179,18541539,18650403,19010773,19086173,19386807,19001421,19435889,20457805,20444229,21333657,21612577,23131143
AT1G02280.1	12766230,12938931,18431481
AT1G02280.2	18431481
AT1G02290	20032078
AT1G02300	14617064,14697270,15047901,16911220,17259181,18650403,19453434,20736450
AT1G02305	14697270,15215502,15539469,17645793,18650403,18775970,19453434
AT1G02305.1	15539469,21166475
AT1G02310	15235117,20736450,20878180,24327260
AT1G02310.1	18436742
AT1G02330	18650403,18775970
AT1G02335	15593128,22960910
AT1G02340	10982420,11090209,11118137,11148292,12061902,12472688,10995393,12679534,12826627,14645731,15705947,15741320,15960622,16500988,16813572,16786307,18556661,18974779,17699755,19482971,19851283,19808946,20305124,19619162,21093457,21205034,21265897,21692804,21928113,22631228,22827949,23093358,23224238,24179122,24377444,24609653
AT1G02340.1	11118137,10995393,12679534
AT1G02350	16684236
AT1G02350.1	
AT1G02360	14535883,15235117,16244138,16553894,16684236,17194768,17149585,21711359
AT1G02370	15695462
AT1G02390	12897259,16299169,17259262,18805951,20736450,22864585,23505340
AT1G02391	17395691
AT1G02391.1	17395691
AT1G02400	12837949,15215506,16244138,16214899,16920780,17010113,17587374,18305206,18252252,18590820,18805991,18829981,20008096,21056641,21803937
AT1G02400.1	10200325,12472697,17010113
AT1G02405	12068095,12805588
AT1G02405.1	12805588
AT1G02410	16113211,18315867,18775970,20117084
AT1G02430	12644670,12912986,15723828,18603616
AT1G02430.1	12912986
AT1G02440	12644670,12912986,15723828,16146321,16824183,20736450
AT1G02440.1	12912986
